ID,Length,Width,Size
0,189.1,82.5,200
1,197.5,80.8,200
2,201,84.7,210
3,205,84.5,210
4,199.6,99.7,210
5,204.9,70,210
6,215,84.7,215
7,206.4,82.2,215
8,214.1,89.3,215
9,205,84.5,215
10,211.3,82.9,215
11,220.4,86.6,220
12,219.1,85.6,220
13,214.9,85.8,220
14,211.9,90.1,220
15,214.7,81,220
16,215.8,93.8,220
17,215.9,83.4,220
18,215.2,85.1,220
19,215,84.7,220
20,216.2,79.8,220
21,215,84,220
22,215.5,84.6,220
23,215.9,83.4,220
24,215.2,85,220
25,215.2,79.8,220
26,218.7,85.3,220
27,216.2,79.8,220
28,213.1,93.9,220
29,211,84,220
30,222,84.2,220
31,216.3,87.7,220
32,219.9,85,225
33,220.1,89.8,225
34,220.4,92.6,225
35,225,84,225
36,224.9,85.3,225
37,224.9,83.6,225
38,217.1,87.5,225
39,222.7,86,225
40,220.3,87.7,225
41,225,84,225
42,222.5,85.5,225
43,227.2,83.8,225
44,220,82.5,225
45,222.9,82.2,225
46,219.9,87.3,225
47,220.5,86.7,225
48,220.2,94.6,225
49,219.9,84,225
50,220,82.5,225
51,220,84,225
52,223.1,86.5,225
53,215.8,93.8,225
54,220.5,84,225
55,220,84.9,225
56,225.4,94.1,230
57,229.2,92.3,230
58,223.5,95.3,230
59,230.1,85.2,230
60,215.6,88.8,230
61,226.4,90.1,230
62,224.9,76.3,230
63,224.9,84,230
64,223,84,230
65,225.8,87.6,230
66,224.9,89.2,230
67,228.2,90.1,230
68,226,88.4,230
69,225,87.4,230
70,227.8,87.8,230
71,217.4,90.1,230
72,220.1,84.9,230
73,228.1,87.1,230
74,230.2,97,235
75,235,84,235
76,227.5,91.6,235
77,233.8,85.9,235
78,234.9,92.1,235
79,234.9,71.5,235
80,228.1,90.2,235
81,237.3,81.3,235
82,232.8,92.3,235
83,235,84,235
84,226.1,90.6,235
85,234.9,79,235
86,222.8,91.6,235
87,231.6,95.3,235
88,232,84,235
89,226.6,94.3,235
90,221.9,93.3,235
91,230.1,85,235
92,235.8,93.1,240
93,226.4,97.1,240
94,240.1,85.1,240
95,240.2,85.1,240
96,234.2,95,240
97,236.3,84,240
98,240.7,89.4,240
99,240,87.8,240
100,237.2,71.9,240
101,240,87.9,240
102,234.8,95.3,240
103,240.5,99,240
104,235.1,87,240
105,235,91.5,240
106,237,95.9,240
107,235.1,99.4,240
108,235,84,240
109,227.6,91.5,240
110,234.9,91.9,240
111,228.4,105.5,240
112,240.1,94.7,240
113,225,89,240
114,228.3,86.8,240
115,224.1,97.3,240
116,244.6,94.1,245
117,233,101,245
118,241.6,89,245
119,242.2,93.2,245
120,234.1,91.8,245
121,239.5,97.8,245
122,240,87.7,245
123,244.4,90.7,245
124,235.3,94.2,245
125,240,99.4,245
126,245.4,95.8,250
127,235,95.9,250
128,247.1,98,250
129,244.1,85.2,250
130,234.2,82,250
131,244.1,85.2,250
132,245,82.3,250
133,236.1,97.9,250
134,245.3,111,250
135,244.9,91.4,250
136,243.1,97.9,250
137,240.3,97.7,250
138,243.3,93.1,250
139,244.1,94,250
140,241,95.7,250
141,250,93.8,250
142,245,81.4,250
143,242.1,95.9,250
144,241.9,98.7,250
145,250.1,87.1,250
146,250.1,92.2,250
147,245,81.6,250
148,250.8,88.8,250
149,237.2,103.6,250
150,238.9,100.9,250
151,240.7,100.2,250
152,242.9,98.3,250
153,243.1,97.1,250
154,251.6,93.1,255
155,238.8,102.8,255
156,244.5,101,255
157,255,94,255
158,243.6,96.8,255
159,251.1,93.9,255
160,247.9,98,255
161,248.2,102,255
162,252,96.9,255
163,255.4,90.1,255
164,254.6,98.4,255
165,250.4,90,255
166,245.9,104.1,255
167,247.8,104.8,255
168,250,94.7,255
169,253.5,98.7,255
170,242.4,101.8,255
171,250.4,95.1,255
172,248.2,96.9,255
173,253.1,102.8,255
174,249.6,88.9,255
175,251.2,93.1,255
176,255,90,255
177,252.7,99.5,255
178,256.4,93.9,255
179,242.8,103.2,255
180,255.3,95.2,255
181,255,90.8,255
182,247.6,96,255
183,255.3,96.4,255
184,251.1,100.1,255
185,225.5,84.7,255
186,246.2,96,260
187,243.5,108.4,260
188,248.4,107.5,260
189,249.4,101.3,260
190,251.2,94.8,260
191,249.4,101.8,260
192,250.5,100.5,260
193,250.6,101.5,260
194,255.1,98.6,260
195,255,95.8,260
196,245.9,104.5,260
197,254.5,99.5,260
198,252.9,98,260
199,254.6,92.8,260
200,251.4,99.9,260
201,250.3,93.4,260
202,248.1,93.7,260
203,256.9,100.8,260
204,251.5,93.1,260
205,255.9,97.4,260
206,249.6,101,260
207,255.9,97.4,260
208,251.2,98.5,260
209,255.9,97.4,260
210,249.6,101,260
211,252.9,102.5,260
212,255.5,98.2,260
213,253.4,104.1,260
214,258.8,97.4,260
215,255,92.8,260
216,251.4,96.2,260
217,247.2,98.7,260
218,255,94,260
219,247.9,95.7,260
220,255,91.9,260
221,242.3,100.6,260
222,254.5,94.2,260
223,255,94,260
224,258.4,98.4,260
225,260.2,95.8,260
226,261.7,88.9,260
227,251.1,106.5,260
228,255.9,103.6,260
229,255,105.3,260
230,255.1,90.9,260
231,252.2,97.8,260
232,249.6,103.5,260
233,255.1,99,260
234,248.7,101,260
235,254.2,102,260
236,245,104.9,260
237,256.7,98.6,260
238,256.7,99.7,260
239,250.3,99.7,260
240,252,104.1,260
241,255.3,100.8,260
242,260,93.4,260
243,246.2,107.1,260
244,260.2,99.2,260
245,260,100.5,260
246,259.1,96.5,260
247,249.1,105.3,260
248,252,99.9,260
249,260,84,260
250,259.1,91.6,260
251,260,84,260
252,249.2,107.1,260
253,252.9,102.3,260
254,249.9,102.3,260
255,257.6,98.8,260
256,259,102.3,260
257,255,100.2,260
258,253.5,100.2,260
259,259.2,95.2,260
260,259.3,100.4,260
261,256.6,99.7,260
262,257.2,94.7,260
263,258.3,101.1,260
264,242.2,108.8,260
265,251.8,104,260
266,254,102.5,260
267,258.1,99.1,260
268,259,81,260
269,241.6,104.6,260
270,240,105,260
271,261.2,95.8,260
272,251.8,95.9,260
273,259.6,99.7,260
274,249.4,104.9,260
275,263.6,100.8,265
276,254.5,105.8,265
277,255.4,103.2,265
278,258.1,97,265
279,258,92.1,265
280,251.1,101.9,265
281,258.1,106,265
282,258.3,97.5,265
283,255,104,265
284,260.4,94.1,265
285,260.5,103,265
286,253.6,108.2,265
287,262.3,97.7,265
288,262.4,102.7,265
289,263.1,103,265
290,258,101.2,265
291,252.1,106,265
292,266.3,102.1,265
293,266.7,84,265
294,261,101.2,265
295,264.6,96.2,265
296,259.6,97.2,265
297,266.1,101,265
298,266.1,99.9,265
299,266.7,100.6,265
300,261.8,99,265
301,261.3,95.9,265
302,260.2,96.6,265
303,258.1,106,265
304,260,107.6,265
305,261.6,101.5,265
306,256.1,108.2,265
307,259.5,101.4,270
308,256,93.2,270
309,260.4,108.9,270
310,261,102.6,270
311,266.3,92.4,270
312,260.9,105.8,270
313,260.1,99.6,270
314,257.3,104.9,270
315,256.7,102.6,270
316,258.1,103.8,270
317,256.1,94.3,270
318,254.8,102.3,270
319,265.9,111.9,270
320,265,101.5,270
321,265.1,96,270
322,264.9,98.9,270
323,269,100.5,270
324,260.6,99.4,270
325,263.4,104.7,270
326,254.9,106.8,270
327,266.8,100.5,270
328,265,88.6,270
329,269.7,104.1,270
330,258,116.7,270
331,262.2,115.9,270
332,261.1,107.4,270
333,271.5,103.2,270
334,266.1,108.5,270
335,273.5,98.2,275
336,261.8,112.4,275
337,257.3,103.3,275
338,258.8,105.6,275
339,254.3,106.8,275
340,269.6,99.3,275
341,264.5,91.7,275
342,270.1,93.8,275
343,257.2,98.3,275
344,270.1,104.7,275
345,273.1,95.3,275
346,269.3,114.1,275
347,262.5,104.3,275
348,265.5,97.4,275
349,273.1,94,275
350,270.4,94.7,275
351,270.1,103,275
352,263.7,110.6,275
353,270.3,111.8,275
354,262.1,102,275
355,264.1,118.3,275
356,272.5,101.8,275
357,268.9,100.6,275
358,267.7,105.6,275
359,267.4,93.1,275
360,265.6,105.3,275
361,267.6,108,275
362,267.9,106.6,275
363,264.9,105.1,275
364,266.7,92.5,275
365,263.4,107.8,275
366,270,105.1,275
367,268,105.2,275
368,262,104,275
369,269.5,103.6,275
370,266.8,104.5,275
371,269,115,275
372,266.1,109.7,275
373,264.9,106.3,275
374,269.2,105.9,275
375,269.1,102.6,275
376,270.6,102.3,275
377,264.8,109.8,275
378,265,103.3,275
379,265.1,111,275
380,275.8,101.2,275
381,264,101.2,280
382,270.3,105.9,280
383,271,107,280
384,278.9,106.5,280
385,265.6,91.7,280
386,275,100.2,280
387,273,103.4,280
388,272,100.7,280
389,268.2,117.7,280
390,269.4,109.9,280
391,269.2,10.5,280
392,264.8,111.1,280
393,275.3,82.2,280
394,272.2,112.2,280
395,269.4,93.7,280
396,273.5,104.7,280
397,274.6,103.3,280
398,270,118.5,280
399,274.6,110.9,280
400,272.8,113,280
401,270.9,100.5,285
402,280,97,285
403,272.1,109.6,285
404,280,114.1,285
405,272.1,109.6,285
406,278,115,285
407,284.7,105.6,285
408,280,94,285
409,280,118.8,285
410,274.9,111.7,285
411,276.8,111.1,285
412,283.8,105.3,285
413,278.7,104.7,285
414,281.1,11.9,285
415,290,112.1,290
416,269.2,108.6,290
417,282.5,104.1,290
418,268.9,115.7,290
419,269.8,106.3,290
420,285,84,290
421,279.4,110.9,290
422,282.8,99,290
423,283.3,106,290
424,282.8,105.1,290
425,285,100.7,290
426,286.8,108.7,295
427,290,114.3,295
428,286,110.8,300
429,291.1,115.6,300
430,275.2,110,300
431,293.4,115.4,300
432,287.3,123.2,300
433,268.4,106.9,275